date,arm,mase,smape,rmse,cumulative_profit,profit_index,avg_episode_reward,pricing_regret,fc_threshold,fc_mu,fc_sigma,rl_profit_floor,rl_ref_profit,fc_trigger,rl_trigger
2013-01-01,ewc,1.5047908846533042,153.0253291130066,6.160011291503906,4622.778222728967,1.381179362999715,4.620055722728972,0.00027426603437804485,1.55970855692829,1.480584804694893,0.039561876116698494,1.0,3346.9789272618323,False,False
2013-01-08,ewc,1.488930867689944,151.64694786071777,6.096510410308838,4553.126127675777,1.3603689257167493,4.550403627675774,0.00028531325043122517,1.55970855692829,1.480584804694893,0.039561876116698494,1.0,3346.9789272618323,False,False
2013-01-15,ewc,1.4749425810219785,151.3837218284607,5.906939506530762,4172.262277636536,1.2465756039431861,4.172262277636523,0.00026258175376493996,1.55970855692829,1.480584804694893,0.039561876116698494,1.0,3346.9789272618323,False,False
2013-01-22,ewc,1.4698132905700454,150.68819522857666,5.829855918884277,4309.447270433905,1.2875633112992049,4.309447270433901,0.00025369155391131385,1.55970855692829,1.480584804694893,0.039561876116698494,1.0,3346.9789272618323,False,False
2013-01-29,ewc,1.4736561721488541,150.51140785217285,5.767446517944336,4702.554763629434,1.4050147508626833,4.702554763629433,0.0002804739447763854,1.55970855692829,1.480584804694893,0.039561876116698494,1.0,3346.9789272618323,False,False
2013-02-05,ewc,1.4051282281156858,151.11658573150635,5.492381572723389,4378.037571160796,1.3080565089611944,4.372543341038225,0.0003118060770105702,1.55970855692829,1.480584804694893,0.039561876116698494,1.0,3346.9789272618323,False,False
2013-02-12,ewc,1.3848064852142545,151.24049186706543,5.402090072631836,4024.776528887751,1.202510268620193,4.019282298765178,0.00030179196589883144,1.55970855692829,1.480584804694893,0.039561876116698494,1.0,3346.9789272618323,False,False
2013-02-19,ewc,1.407093439213822,150.80249309539795,5.374715805053711,4182.506530064945,1.2496363499625194,4.182506530064935,0.00027219248982449703,1.55970855692829,1.480584804694893,0.039561876116698494,1.0,3346.9789272618323,False,False
2013-02-26,ewc,1.3588692789096577,149.5844841003418,5.1905035972595215,4398.844427628224,1.3142731171083066,4.398844427628219,0.0002805505459686739,1.55970855692829,1.480584804694893,0.039561876116698494,1.0,3346.9789272618323,False,False
2013-03-05,ewc,1.3286320007358658,150.15076398849487,5.063120365142822,4345.923726940456,1.2984616340252435,4.345923726940456,0.0002906603917157077,1.55970855692829,1.480584804694893,0.039561876116698494,1.0,3346.9789272618323,False,False
2013-03-12,ewc,1.323577536531125,150.31884908676147,5.0776143074035645,4331.915427513126,1.2942762776989072,4.331915427513128,0.0003082615185837127,1.55970855692829,1.480584804694893,0.039561876116698494,1.0,3346.9789272618323,False,False
2013-03-19,ewc,1.344999763987464,150.7959246635437,5.187948226928711,4318.542222878935,1.2902806730283,4.318542222878934,0.000323062123014332,1.55970855692829,1.480584804694893,0.039561876116698494,1.0,3346.9789272618323,False,False
2013-03-26,ewc,1.373481342302864,151.81427001953125,5.214177131652832,4416.867611376944,1.319658028140138,4.41686761137694,0.00037794132375138385,1.55970855692829,1.480584804694893,0.039561876116698494,1.0,3346.9789272618323,False,False
2013-04-02,ewc,1.3878413921758306,151.83203220367432,5.273073196411133,4532.671801402873,1.354257645449551,4.532671801402868,0.0004218148036403378,1.55970855692829,1.480584804694893,0.039561876116698494,1.0,3346.9789272618323,False,False
2013-04-09,ewc,1.3620866796288356,151.15344524383545,5.311356544494629,4145.264464196266,1.2385092808419658,4.1452644641962655,0.0003573219221441671,1.55970855692829,1.480584804694893,0.039561876116698494,1.0,3346.9789272618323,False,False
2013-04-16,ewc,1.3346623510721847,153.00369262695312,5.205788612365723,3999.5862754246623,1.194984002691863,3.9995862754246647,0.0003155604867203823,1.55970855692829,1.480584804694893,0.039561876116698494,1.0,3346.9789272618323,False,False
2013-04-23,ewc,1.3783112736825636,153.88351678848267,5.238518238067627,4055.91302726627,1.2118131351918662,4.0458437671229905,0.00036706093701496394,1.55970855692829,1.480584804694893,0.039561876116698494,1.0,3346.9789272618323,False,False
2013-04-30,ewc,1.3931658278247692,155.35837411880493,5.2688164710998535,3905.070439662939,1.16674485395033,3.890922559551245,0.0004040553416095569,1.55970855692829,1.480584804694893,0.039561876116698494,1.0,3346.9789272618323,False,False
2013-05-07,ewc,1.385163816996563,155.32519817352295,5.370866775512695,3771.386947002413,1.1268033139628366,3.765867607026102,0.00034228492370778674,1.55970855692829,1.480584804694893,0.039561876116698494,1.0,3346.9789272618323,False,False
2013-05-14,ewc,1.3950059515483761,155.55766820907593,5.436963081359863,3786.671639338137,1.131370027010005,3.782036279312731,0.0002834352887142286,1.55970855692829,1.480584804694893,0.039561876116698494,1.0,3346.9789272618323,False,False
2013-05-21,ewc,1.378925511359211,155.38371801376343,5.355065822601318,3827.8863359352963,1.143684026438402,3.824691695917787,0.0004081388971675742,1.55970855692829,1.480584804694893,0.039561876116698494,1.0,3346.9789272618323,False,False
2013-05-28,ewc,1.4262771144237116,155.21262884140015,5.424724578857422,4057.3408274835365,1.2122397289196118,4.047101227312443,0.0007103240845237298,1.55970855692829,1.480584804694893,0.039561876116698494,1.0,3346.9789272618323,False,False
2013-06-04,ewc,1.4352577230238508,156.6797137260437,5.461119174957275,4297.992970872229,1.2841410311442931,4.287753370701136,0.0006638135419427653,1.55970855692829,1.480584804694893,0.039561876116698494,1.0,3346.9789272618323,False,False
